区域,平均价格（元/月）
东城区,9339.636734693877
丰台区,7446.440273843248
大兴区,4483.4658360128615
密云区,2312.271229404309
平谷区,2240.0
延庆区,1940.0
怀柔区,2923.0242747187685
房山区,3393.9375816519087
昌平区,5992.021005857403
朝阳区,8871.828451668967
海淀区,14876.430987202924
石景山区,5823.5759493670885
西城区,10115.185752930567
通州区,4646.535200793257
门头沟区,4362.886799410029
顺义区,6450.353283791927
