房屋类型,数据量,均值,标准差,中位数,25%分位数,75%分位数
一居,13167.0,3528.26,3633.89,2800.0,1980.0,4350.0
二居,9639.0,6011.12,3564.85,5500.0,4000.0,7000.0
三居,13934.0,7452.97,5847.77,6200.0,4500.0,8200.0
