区域,平均价格（元/月）
嘉定,4300.290442418102
奉贤,2820.699547511312
宝山,4709.7453033569445
崇明,2329.284722222222
徐汇,8869.726128793487
普陀,7043.668433931484
杨浦,7189.063904684538
松江,5740.606699393589
浦东,6351.391552589943
精选,6453.064516129032
虹口,7705.2894299944655
金山,2170.5769944341373
长宁,8978.170663469225
闵行,6568.613321647677
青浦,10905.518659558264
静安,8481.584819867086
黄浦,12700.789855072464
