区域,平均价格（元/月）
嘉定区,4300.290442418102
奉贤区,2820.699547511312
宝山区,4709.7453033569445
崇明区,2329.284722222222
徐汇区,8869.726128793487
普陀区,7043.668433931484
杨浦区,7189.063904684538
松江区,5740.606699393589
浦东新区,6351.391552589943
虹口区,7705.2894299944655
金山区,2170.5769944341373
长宁区,8978.170663469225
闵行区,6568.613321647677
青浦区,10905.518659558264
静安区,8481.584819867086
黄浦区,12700.789855072464
