房屋类型,数据量,均值,标准差,中位数,25%分位数,75%分位数
一居,18653.0,4931.02,3227.76,4530.0,3300.0,5700.0
二居,33230.0,5487.2,3343.44,5000.0,3500.0,6600.0
三居,14067.0,7964.41,7486.93,5900.0,4100.0,8405.0
