房屋类型,数据量,均值,标准差,中位数,25%分位数,75%分位数
一居,27336.0,1925.58,1101.2,1600.0,1300.0,2200.0
二居,35709.0,2032.75,1069.59,1900.0,1300.0,2500.0
三居,17126.0,2244.18,1384.78,2000.0,1200.0,3000.0
