房屋类型,数据量,均值,标准差,中位数,25%分位数,75%分位数
一居,18654.0,4434.65,2026.78,4200.0,3500.0,5000.0
二居,21536.0,6006.38,3604.0,5200.0,4100.0,7000.0
三居,9688.0,8789.9,7029.86,6800.0,4700.0,10000.0
